traffic
7
10
15
8
4
7
0
2
3
3
2
3
3
1
2
0
4
1
4
5
8
12
8
10
28
49
32
35
46
44
49
44
53
55
49
60
55
69
54
60
41
43
43
54
50
52
62
56
54
43
53
49
38
61
59
34
37
45
63
42
58
44
47
52
55
69
53
51
58
44
67
41
48
54
55
35
25
37
40
32
31
31
29
34
25
23
22
18
20
20
27
19
17
10
17
19
